language,title
en,865964
vi,280
nb,114
things get a little awkward. Especially for her husband Thad McCloud. He,3
0.604325,16
sl,11
more girls,1002
ro,35
ur,4
ka,13
"who then comes after Crusoe.\"",6
pl,562
cn,4034
pt,21879
tl,72
ko,2085
uk,7
"\" beautiful and loves to say \"\"\\\"\"I do\"\"\\\"\".\"\"\"\"en\"Charley Pearl",151
0.583192,8
"the other of a pseudohermaphrodite (Alan or Anne).\"",411
cs,242
mr,13
sr,19
2.68548,4
tr,38
de,3323
is,82
es,17106
hr,4
el,133
it,2036
te,112
sv,1404
nl,245
bn,7
hu,143
xx,128
ru,3272
drifters,1
ml,57
th,824
mk,2
lt,0
the Brothers and Sisters of Shaka. However,46
fa,207
no,387
"The\"",0
bg,24
hi,167
bs,2
1.033927,10
ta,29
et,17
zh,8003
4.844351,32
fr,18388
ja,4617
da,1248
fi,255
he,186
